"cust_id","transaction_type","subscription_type","subscription_price","customer_gender","age_group","customer_country","referral_type","transaction_date","tx_num"
"1","initial","BASIC","33","Male","35-44","Denmark","Google Ads","2020-09-01","1"
"2","initial","BASIC","53","Female","18-24","Denmark","facebook","2022-03-01","1"
"3","initial","MAX","99","Female","25-34","Norway","facebook","2020-10-01","1"
"3","REDUCTION","BASIC","53","Female","25-34","Norway","facebook","2022-02-01","2"
"4","initial","PRO","85","Male","18-24","Sweden","Display","2022-05-01","1"
"5","initial","BASIC","53","Male","35-44","Sweden","Google Ads","2022-08-01","1"
"6","initial","MAX","119","Male","55-65","Sweden","facebook","2022-06-01","1"
"7","initial","MAX","119","Female","25-34","Sweden","facebook","2022-02-01","1"
"8","initial","BASIC","43","Other","45-54","Sweden","facebook","2021-01-01","1"
"8","CHURN","BASIC","43","Other","45-54","Sweden","facebook","2021-04-01","2"
"9","initial","BASIC","33","Female","25-34","Sweden","facebook","2020-08-01","1"
"9","CHURN","BASIC","43","Female","25-34","Sweden","facebook","2021-03-01","2"
"10","initial","MAX","119","Female","25-34","Finland","facebook","2022-09-01","1"
"11","initial","BASIC","33","Female","45-54","Norway","Organic Search","2020-05-01","1"
"11","UPGRADE","MAX","119","Female","45-54","Norway","Organic Search","2022-01-01","2"
"12","initial","BASIC","33","Male","25-34","Finland","facebook","2020-09-01","1"
"12","UPGRADE","PRO","85","Male","25-34","Finland","facebook","2022-09-01","2"
"13","initial","BASIC","53","Male","55-65","Norway","Google Ads","2022-06-01","1"
"14","initial","BASIC","33","Female","35-44","Norway","Google Ads","2020-03-01","1"
"14","UPGRADE","PRO","65","Female","35-44","Norway","Google Ads","2020-07-01","2"
"15","initial","PRO","85","Female","25-34","Norway","Google Ads","2022-06-01","1"
"16","initial","PRO","65","Female","18-24","Norway","Organic Search","2020-12-01","1"
"16","UPGRADE","MAX","119","Female","18-24","Norway","Organic Search","2022-11-01","2"
"17","initial","BASIC","43","Male","45-54","Denmark","Unknown","2021-12-01","1"
"17","CHURN","BASIC","53","Male","45-54","Denmark","Unknown","2022-08-01","2"
"18","initial","BASIC","43","Female","35-44","Denmark","Bing","2021-11-01","1"
"19","initial","PRO","85","Male","25-34","Norway","Organic Search","2022-09-01","1"
"19","REDUCTION","BASIC","53","Male","25-34","Norway","Organic Search","2022-10-01","2"
"20","initial","PRO","85","Male","45-54","Finland","Google Ads","2022-11-01","1"
"21","initial","PRO","75","Other","55-65","Sweden","Organic Search","2021-09-01","1"
"21","UPGRADE","MAX","119","Other","55-65","Sweden","Organic Search","2022-10-01","2"
"22","initial","BASIC","53","Female","25-34","Finland","Unknown","2022-06-01","1"
"22","CHURN","BASIC","53","Female","25-34","Finland","Unknown","2022-11-01","2"
"23","initial","MAX","99","Female","35-44","Sweden","facebook","2020-12-01","1"
"23","REDUCTION","PRO","75","Female","35-44","Sweden","facebook","2021-05-01","2"
"24","initial","MAX","109","Female","18-24","Denmark","facebook","2021-03-01","1"
"24","REDUCTION","PRO","85","Female","18-24","Denmark","facebook","2022-04-01","2"
"25","initial","MAX","99","Female","35-44","Sweden","Google Ads","2020-12-01","1"
"25","REDUCTION","BASIC","53","Female","35-44","Sweden","Google Ads","2022-08-01","2"
"26","initial","BASIC","43","Female","35-44","Sweden","Paid Search","2021-02-01","1"
"26","UPGRADE","PRO","85","Female","35-44","Sweden","Paid Search","2022-07-01","2"
"26","CHURN","PRO","85","Female","35-44","Sweden","Paid Search","2022-10-01","3"
"27","initial","BASIC","33","Male","25-34","Finland","Google Ads","2020-12-01","1"
"28","initial","PRO","85","Male","55-65","Sweden","facebook","2022-07-01","1"
"29","initial","PRO","65","Female","55-65","Sweden","Unknown","2020-06-01","1"
"29","UPGRADE","MAX","119","Female","55-65","Sweden","Unknown","2022-07-01","2"
"30","initial","PRO","85","Male","45-54","Sweden","Bing","2022-07-01","1"
"30","REDUCTION","BASIC","53","Male","45-54","Sweden","Bing","2022-10-01","2"
"31","initial","PRO","75","Male","35-44","Sweden","Google Ads","2021-05-01","1"
"31","UPGRADE","MAX","119","Male","35-44","Sweden","Google Ads","2022-11-01","2"
"32","initial","MAX","119","Female","45-54","Finland","Display","2022-04-01","1"
"33","initial","BASIC","43","Male","18-24","Sweden","facebook","2021-09-01","1"
"33","CHURN","BASIC","53","Male","18-24","Sweden","facebook","2022-09-01","2"
"34","initial","BASIC","53","Male","45-54","Norway","Paid Search","2022-02-01","1"
"35","initial","PRO","85","Male","18-24","Sweden","Paid Search","2022-05-01","1"
"36","initial","MAX","119","Female","45-54","Denmark","Google Ads","2022-10-01","1"
"37","initial","PRO","65","Female","35-44","Sweden","facebook","2020-02-01","1"
"37","UPGRADE","MAX","99","Female","35-44","Sweden","facebook","2020-11-01","2"
"37","CHURN","PRO","65","Female","35-44","Sweden","facebook","2020-11-01","3"
"38","initial","PRO","75","Male","25-34","Finland","Unknown","2021-06-01","1"
"38","REDUCTION","BASIC","53","Male","25-34","Finland","Unknown","2022-07-01","2"
"39","initial","PRO","65","Male","18-24","Sweden","Google Ads","2020-08-01","1"
"39","UPGRADE","MAX","119","Male","18-24","Sweden","Google Ads","2022-04-01","2"
"39","CHURN","MAX","119","Male","18-24","Sweden","Google Ads","2022-07-01","3"
"40","initial","MAX","99","Other","18-24","Denmark","facebook","2020-12-01","1"
"40","REDUCTION","BASIC","43","Other","18-24","Denmark","facebook","2021-10-01","2"
"40","CHURN","BASIC","53","Other","18-24","Denmark","facebook","2022-04-01","3"
"41","initial","MAX","109","Male","35-44","Sweden","Google Ads","2021-08-01","1"
"41","REDUCTION","BASIC","53","Male","35-44","Sweden","Google Ads","2022-10-01","2"
"42","initial","BASIC","43","Female","25-34","Sweden","TV","2021-06-01","1"
"43","initial","MAX","99","Female","45-54","Sweden","Organic Search","2020-04-01","1"
"43","REDUCTION","PRO","75","Female","45-54","Sweden","Organic Search","2021-10-01","2"
"44","initial","PRO","75","Male","18-24","Sweden","Paid Search","2021-11-01","1"
"44","REDUCTION","BASIC","53","Male","18-24","Sweden","Paid Search","2022-08-01","2"
"45","initial","PRO","85","Female","55-65","Sweden","Unknown","2022-02-01","1"
"45","UPGRADE","MAX","119","Female","55-65","Sweden","Unknown","2022-11-01","2"
"46","initial","PRO","75","Male","18-24","Sweden","Paid Search","2021-10-01","1"
"46","UPGRADE","MAX","119","Male","18-24","Sweden","Paid Search","2022-03-01","2"
"47","initial","BASIC","33","Male","18-24","Sweden","Google Ads","2020-10-01","1"
"47","UPGRADE","MAX","109","Male","18-24","Sweden","Google Ads","2021-06-01","2"
"48","initial","MAX","99","Male","55-65","Sweden","facebook","2020-05-01","1"
"48","REDUCTION","PRO","75","Male","55-65","Sweden","facebook","2021-02-01","2"
"49","initial","MAX","119","Female","18-24","Sweden","Google Ads","2022-09-01","1"
"50","initial","MAX","119","Other","55-65","Sweden","facebook","2022-06-01","1"
"51","initial","BASIC","43","Female","18-24","Sweden","Google Ads","2021-12-01","1"
"51","CHURN","BASIC","53","Female","18-24","Sweden","Google Ads","2022-07-01","2"
"52","initial","MAX","109","Other","25-34","Denmark","Google Ads","2021-12-01","1"
"52","REDUCTION","PRO","85","Other","25-34","Denmark","Google Ads","2022-06-01","2"
"53","initial","PRO","65","Female","25-34","Denmark","facebook","2020-06-01","1"
"53","UPGRADE","MAX","109","Female","25-34","Denmark","facebook","2021-01-01","2"
"54","initial","PRO","85","Female","55-65","Sweden","TV","2022-07-01","1"
"55","initial","BASIC","53","Male","45-54","Sweden","Paid Search","2022-01-01","1"
"56","initial","PRO","65","Female","45-54","Finland","facebook","2020-05-01","1"
"56","UPGRADE","MAX","119","Female","45-54","Finland","facebook","2022-04-01","2"
"57","initial","PRO","85","Male","35-44","Sweden","Paid Search","2022-03-01","1"
"58","initial","BASIC","53","Female","25-34","Norway","facebook","2022-01-01","1"
"59","initial","MAX","119","Female","35-44","Norway","Paid Search","2022-01-01","1"
"59","REDUCTION","BASIC","53","Female","35-44","Norway","Paid Search","2022-11-01","2"
"60","initial","BASIC","33","Male","45-54","Finland","facebook","2020-08-01","1"
"60","CHURN","BASIC","43","Male","45-54","Finland","facebook","2021-03-01","2"
"61","initial","PRO","85","Male","25-34","Sweden","Organic Search","2022-06-01","1"
"62","initial","PRO","75","Female","35-44","Sweden","Organic Search","2021-03-01","1"
"62","UPGRADE","MAX","109","Female","35-44","Sweden","Organic Search","2021-10-01","2"
"62","CHURN","MAX","119","Female","35-44","Sweden","Organic Search","2022-07-01","3"
"63","initial","MAX","99","Female","18-24","Denmark","facebook","2020-08-01","1"
"63","REDUCTION","PRO","65","Female","18-24","Denmark","facebook","2020-11-01","2"
"64","initial","MAX","99","Female","25-34","Sweden","facebook","2020-02-01","1"
"64","REDUCTION","PRO","65","Female","25-34","Sweden","facebook","2020-04-01","2"
"65","initial","BASIC","43","Male","55-65","Denmark","Paid Search","2021-06-01","1"
"65","CHURN","BASIC","53","Male","55-65","Denmark","Paid Search","2022-03-01","2"
"66","initial","PRO","65","Male","35-44","Sweden","Organic Search","2020-11-01","1"
"66","REDUCTION","BASIC","53","Male","35-44","Sweden","Organic Search","2022-04-01","2"
"67","initial","PRO","85","Male","55-65","Norway","Organic Search","2022-10-01","1"
"68","initial","MAX","99","Female","45-54","Norway","Google Ads","2020-09-01","1"
"68","REDUCTION","BASIC","53","Female","45-54","Norway","Google Ads","2022-04-01","2"
"69","initial","PRO","85","Male","55-65","Sweden","facebook","2022-02-01","1"
"69","UPGRADE","MAX","119","Male","55-65","Sweden","facebook","2022-11-01","2"
"70","initial","PRO","85","Female","45-54","Sweden","Google Ads","2022-07-01","1"
"71","initial","PRO","75","Male","55-65","Denmark","Google Ads","2021-02-01","1"
"71","REDUCTION","BASIC","43","Male","55-65","Denmark","Google Ads","2021-08-01","2"
"71","CHURN","BASIC","53","Male","55-65","Denmark","Google Ads","2022-05-01","3"
"72","initial","MAX","99","Male","18-24","Finland","facebook","2020-09-01","1"
"72","REDUCTION","BASIC","53","Male","18-24","Finland","facebook","2022-02-01","2"
